基金代码,基金类型,管理费率,托管费率,最新资产规模,披露日,2015_收益,2016_收益,2017_收益,2018_收益,2019_收益,2020_收益,2021_收益,2022_收益,2023_收益,2024_收益,2015_规模,2016_规模,2017_规模,2018_规模,2019_规模,2020_规模,2021_规模,2022_规模,2023_规模,2024_规模
000377,债券型-混合二级发行日期,0.40%（每年）,0.10%（每年）,1.02亿元,缺失,12.7,3.2,0.9,0.1,10.0,10.9,8.66,5.57,4.12,9.42,,,,,,,,,,
000378,债券型-混合二级发行日期,0.40%（每年）,0.10%（每年）,0.10亿元,缺失,,,,,,,,,,,,,,,,,,,,
000379,货币型-普通货币发行日期,0.33%（每年）,0.05%（每年）,,缺失,,,,,,,,,,,,,,,,,,,,
000380,货币型-普通货币发行日期,0.32%（每年）,0.10%（每年）,,缺失,,,,,,,,,,,,,,,,,,,,
000381,货币型-普通货币发行日期,0.32%（每年）,0.10%（每年）,8.33亿元,缺失,,,,,,,,,,,,,,,,,,,,
000385,债券型-混合二级发行日期,0.40%（每年）,0.10%（每年）,171.01亿元,缺失,41.1,40.2,47.0,50.8,44.6,57.0,57.6,55.1,58.5,71.0,,,,,,,,,,
000386,债券型-混合二级发行日期,0.40%（每年）,0.10%（每年）,18.92亿元,缺失,,,,,,,,,,,,,,,,,,,,
000389,货币型-普通货币发行日期,0.27%（每年）,0.05%（每年）,,缺失,,,,,,,,,,,,,,,,,,,,
000390,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,40.55亿元,缺失,17.0,4.1,2.6,-19.0,12.8,31.2,13.1,3.1,0.9,7.1,,,,,,,,,,
000394,债券型-中短债发行日期,0.30%（每年）,0.10%（每年）,4.54亿元,缺失,4.8,6.2,8.5,2.91,4.23,6.88,9.88,12.3,14.46,17.18,,,,,,,,,,
000395,债券型-长债发行日期,0.25%（每年）,0.10%（每年）,24.54亿元,缺失,13.9,14.5,15.6,21.7,26.6,28.9,33.5,35.5,38.73,25.16,,,,,,,,,,
000396,债券型-长债发行日期,0.25%（每年）,0.10%（每年）,0.26亿元,缺失,13.8,14.0,14.7,23.3,27.9,29.6,33.7,35.2,37.88,23.67,,,,,,,,,,
000397,货币型-普通货币发行日期,0.27%（每年）,0.05%（每年）,,缺失,,,,,,,,,,,,,,,,,,,,
000398,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,0.52亿元,缺失,12.6,5.1,2.1,-14.1,4.7,10.7,3.1,24.3,-18.3,-29.59,,,,,,,,,,
000402,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,74.63亿元,缺失,22.8,24.7,13.3,13.72,13.61,15.13,18.89,16.18,16.73,18.46,,,,,,,,,,
000403,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,12.16亿元,缺失,22.0,23.3,12.0,13.14,12.6,13.64,16.87,13.75,15.8,17.71,,,,,,,,,,
000404,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,33.25亿元,缺失,229.4,98.2,128.3,54.0,192.4,365.4,479.6,280.3,282.2,295.7,,,,,,,,,,
000406,债券型-混合二级发行日期,0.40%（每年）,0.10%（每年）,7.32亿元,缺失,25.3,27.7,7.0,3.6,11.8,22.2,18.5,5.1,2.7600000000000002,6.9,,,,,,,,,,
000407,债券型-混合二级发行日期,0.40%（每年）,0.10%（每年）,0.22亿元,缺失,25.8,28.7,7.7,3.9,11.8,21.7,17.5,3.7,0.98,4.65,,,,,,,,,,
000408,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,3.02亿元,缺失,118.7,28.9,53.7,12.6,95.4,173.6,151.2,76.9,65.5,79.2,,,,,,,,,,
000409,股票型发行日期,1.20%（每年）,0.20%（每年）,10.20亿元,缺失,60.9,51.5,77.8,43.0,92.4,316.9,481.6,337.9,199.7,201.4,,,,,,,,,,
000410,混合型-灵活发行日期,0.90%（每年）,0.20%（每年）,0.30亿元,缺失,,,,,,,,,,,,,,,,,,,,
000411,股票型发行日期,1.20%（每年）,0.20%（每年）,4.58亿元,缺失,32.1,2.4,17.7,-7.9,28.8,76.9,76.9,57.0,17.9,55.8,,,,,,,,,,
000414,混合型-绝对收益发行日期,,0.20%（每年）,0.80亿元,缺失,15.6,16.5,19.6,17.0,22.5,34.6,42.8,36.9,37.4,37.3,,,,,,,,,,
000415,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,2.74亿元,缺失,15.2,10.6,13.7,23.8,32.0,36.7,45.4,48.4,55.85,66.5,,,,,,,,,,
000416,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,0.59亿元,缺失,14.6,9.5,12.2,21.7,29.3,33.3,41.2,43.6,50.12,59.73,,,,,,,,,,
