基金代码,基金类型,管理费率,托管费率,最新资产规模,披露日,2015_收益,2016_收益,2017_收益,2018_收益,2019_收益,2020_收益,2021_收益,2022_收益,2023_收益,2024_收益,2015_规模,2016_规模,2017_规模,2018_规模,2019_规模,2020_规模,2021_规模,2022_规模,2023_规模,2024_规模
000001,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,26.00亿元,缺失,38.2,3.8,13.4,-8.2,10.5,35.9,20.9,0.30000000000000004,-21.9,-17.8,,,,,,,,,,
000002,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,26.00亿元,缺失,,,,,,,,,,,,,,,,,,,,
000003,债券型-混合二级发行日期,0.75%（每年）,0.20%（每年）,0.67亿元,缺失,5.3,-19.0,-23.3,-36.7,-18.4,-6.8,-6.6,-18.1,-19.7,-16.7,,,,,,,,,,
000004,债券型-混合二级发行日期,0.75%（每年）,0.20%（每年）,0.87亿元,缺失,6.4,-18.5,-23.1,-36.7,-18.3,-7.1,-7.3,-19.1,-21.0,-18.4,,,,,,,,,,
000005,债券型-混合一级发行日期,0.30%（每年）,0.10%（每年）,3.57亿元,缺失,3.4,0.30000000000000004,0.2,3.8,2.8,1.2,4.87,1.68,2.04,3.5,,,,,,,,,,
000006,混合型-偏股发行日期,1.20%（每年）,0.10%（每年）,7.90亿元,缺失,,,,,21.2,98.7,130.87,87.49,106.56,92.09,,,,,,,,,,
000008,指数型-股票发行日期,0.15%（每年）,0.05%（每年）,15.13亿元,缺失,98.31,70.01,71.92,13.25,42.34,72.75,101.73,66.21,57.06,66.8,,,,,,,,,,
000009,货币型-普通货币发行日期,0.33%（每年）,0.10%（每年）,79.20亿元,缺失,,,,,,,,,,,,,,,,,,,,
000010,货币型-普通货币发行日期,0.33%（每年）,0.10%（每年）,4.77亿元,缺失,,,,,,,,,,,,,,,,,,,,
000011,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,35.57亿元,缺失,,,,,,,,,,,,,,,,,,,,
000012,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,35.57亿元,缺失,,,,,,,,,,,,,,,,,,,,
000013,货币型-普通货币发行日期,0.33%（每年）,0.10%（每年）,15.71亿元,缺失,,,,,,,,,,,,,,,,,,,,
000014,债券型-混合一级发行日期,0.70%（每年）,0.20%（每年）,6.53亿元,缺失,14.9,16.0,16.4,11.9,29.8,64.9,84.3,75.9,73.61,76.67,,,,,,,,,,
000015,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,80.82亿元,缺失,17.2,15.3,16.5,19.6,22.4,20.4,25.1,28.4,13.37,16.3,,,,,,,,,,
000016,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,16.86亿元,缺失,15.9,13.5,14.2,16.6,19.5,17.1,21.2,23.9,20.21,15.81,,,,,,,,,,
000017,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,1.10亿元,缺失,127.8,55.8,71.7,19.4,73.8,119.3,72.6,31.8,9.9,27.0,,,,,,,,,,
000020,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,3.54亿元,缺失,,,,,,,,,,,,,,,,,,,,
000021,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,47.21亿元,缺失,98.1,57.9,79.1,30.3,91.7,211.2,251.0,151.6,117.9,129.7,,,,,,,,,,
000024,债券型-混合一级发行日期,0.75%（每年）,0.20%（每年）,2.86亿元,缺失,26.6,31.7,7.6,14.4,21.2,14.8,10.21,11.22,13.23,19.78,,,,,,,,,,
000025,债券型-混合一级发行日期,0.75%（每年）,0.20%（每年）,3.28亿元,缺失,26.5,31.1,6.5,12.9,19.1,13.7,9.41,9.97,11.51,17.49,,,,,,,,,,
000028,债券型-混合二级发行日期,0.70%（每年）,0.20%（每年）,0.33亿元,缺失,7.7,0.9,1.2,1.5,7.83,15.39,20.04,7.24,-5.57,0.05,,,,,,,,,,
000029,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,2.11亿元,缺失,,,,,,,,,,,,,,,,,,,,
000030,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,0.67亿元,缺失,97.1,0.5,2.3,4.38,22.65,67.26,64.11,15.63,1.4,5.49,,,,,,,,,,
000031,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,15.29亿元,缺失,113.7,82.8,70.4,24.2,112.2,247.6,295.7,182.8,119.2,88.7,,,,,,,,,,
000032,债券型-长债发行日期,0.35%（每年）,0.10%（每年）,90.48亿元,缺失,18.5,22.1,23.3,33.6,11.0,10.5,11.65,9.53,12.71,14.63,,,,,,,,,,
000033,债券型-长债发行日期,0.35%（每年）,0.10%（每年）,42.27亿元,缺失,17.1,20.1,20.8,30.8,10.3,10.0,11.42,9.24,12.36,14.32,,,,,,,,,,
000037,债券型-长债发行日期,0.30%（每年）,0.05%（每年）,101.98亿元,缺失,0.0,0.0,0.0,0.0,0.0,1.33,7.8,5.78,11.73,17.05,,,,,,,,,,
000039,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,2.68亿元,缺失,128.13,81.3,97.94,47.36,112.99,232.41,381.12,222.83,214.92,254.77,,,,,,,,,,
000041,QDII-普通股票发行日期,1.20%（每年）,0.20%（每年）,24.71亿元,缺失,-22.0,-23.1,5.0,-9.2,7.3,40.2,19.7,-14.2,-7.39,17.97,,,,,,,,,,
000042,指数型-股票发行日期,1.00%（每年）,0.15%（每年）,0.39亿元,缺失,57.3,43.9,73.79,44.33,37.06,86.41,111.07,74.2,67.89,94.25,,,,,,,,,,
000043,QDII-普通股票发行日期,1.20%（每年）,0.20%（每年）,46.71亿元,缺失,,,,,,,,,,,,,,,,,,,,
000044,QDII-普通股票发行日期,1.20%（每年）,0.20%（每年）,,缺失,21.6,26.2,55.1,49.2,90.2,158.2,223.5,134.6,220.3,318.8,,,,,,,,,,
000045,债券型-混合二级发行日期,0.60%（每年）,0.20%（每年）,37.86亿元,缺失,37.0,21.6,28.2,32.5,46.2,50.4,57.8,38.1,39.0,48.2,,,,,,,,,,
000046,债券型-混合二级发行日期,0.60%（每年）,0.20%（每年）,1.35亿元,缺失,35.1,20.3,26.3,30.2,43.2,47.5,54.2,34.4,34.8,43.2,,,,,,,,,,
000047,债券型-混合一级发行日期,0.60%（每年）,0.20%（每年）,15.50亿元,缺失,17.0,14.3,16.6,19.2,32.3,55.3,69.6,57.3,59.57,78.86,,,,,,,,,,
000048,债券型-混合一级发行日期,0.60%（每年）,0.20%（每年）,6.18亿元,缺失,15.9,13.4,15.5,17.8,30.3,52.9,66.5,54.0,55.72,74.03,,,,,,,,,,
000051,指数型-股票发行日期,0.15%（每年）,0.05%（每年）,105.80亿元,缺失,15.3,6.1,30.1,0.7000000000000001,36.8,74.73,69.0,36.55,24.28,45.18,,,,,,,,,,
000053,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,5.12亿元,缺失,45.6,34.78,32.44,0.34,1.17,3.1,1.04,1.08,3.69,5.07,,,,,,,,,,
000054,债券型-混合二级发行日期,0.50%（每年）,0.15%（每年）,9.87亿元,缺失,22.0,27.46,17.51,10.76,21.2,32.88,44.85,25.83,22.02,31.33,,,,,,,,,,
000055,指数型-海外股票发行日期成立日期/规模,0.80%（每年）,0.20%（每年）,93.14亿元,缺失,,,,,,,,,,,,,,,,,,,,
000056,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,0.47亿元,缺失,71.3,64.9,96.7,46.4,118.5,227.4,205.0,144.2,109.5,109.6,,,,,,,,,,
000057,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,0.39亿元,缺失,,,,,,,,,,,,,,,,,,,,
000058,混合型-灵活发行日期,0.90%（每年）,0.20%（每年）,3.27亿元,缺失,25.3,-0.8,0.17,3.61,22.28,41.55,52.08,46.39,35.29,52.51,,,,,,,,,,
000059,指数型-股票发行日期,0.80%（每年）,0.20%（每年）,1.78亿元,缺失,76.9,-1.1,-0.32,-25.93,-4.63,35.53,38.13,14.15,3.33,-7.06,,,,,,,,,,
000061,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,8.09亿元,缺失,21.7,4.2,-12.7,-47.1,-26.1,10.1,66.7,32.8,18.6,23.0,,,,,,,,,,
000063,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,2.24亿元,缺失,153.1,79.5,86.3,18.4,50.7,118.2,100.2,59.4,34.5,45.5,,,,,,,,,,
000064,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,2.12亿元,缺失,7.7,4.9,2.9,7.5,6.8,4.1,7.5,3.6,3.7,8.2,,,,,,,,,,
000065,混合型-灵活发行日期,0.90%（每年）,0.20%（每年）,0.52亿元,缺失,,,,,,,,,,,,,,,,,,,,
000066,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,0.44亿元,缺失,44.3,0.8,4.5,8.3,22.14,63.27,113.64,81.72,46.82,35.15,,,,,,,,,,
000067,债券型-混合二级发行日期,0.70%（每年）,0.20%（每年）,0.54亿元,缺失,-15.6,-32.4,-34.7,-39.8,-24.8,-13.1,7.7,-20.9,-27.4,-25.5,,,,,,,,,,
000068,债券型-混合二级发行日期,0.70%（每年）,0.20%（每年）,0.77亿元,缺失,-15.8,-32.8,-35.3,-40.6,-26.0,-14.9,5.1,-23.2,-29.8,-28.2,,,,,,,,,,
000069,债券型-混合一级发行日期,0.30%（每年）,0.10%（每年）,13.86亿元,缺失,11.2,7.1,4.6,9.8,10.5,10.4,11.8,9.5,12.4,15.44,,,,,,,,,,
000070,债券型-混合一级发行日期,0.30%（每年）,0.10%（每年）,1.43亿元,缺失,11.1,6.9,4.4,9.5,10.4,10.0,11.5,9.3,12.3,15.21,,,,,,,,,,
000071,指数型-海外股票发行日期,0.60%（每年）,0.15%（每年）,50.50亿元,缺失,8.0,19.38,53.57,39.86,56.98,45.91,24.38,14.69,2.02,24.46,,,,,,,,,,
000072,混合型-灵活发行日期,0.70%（每年）,0.20%（每年）,0.99亿元,缺失,81.9,0.7000000000000001,3.7,6.3,10.41,22.56,31.0,26.89,26.18,33.0,,,,,,,,,,
000073,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,1.86亿元,缺失,51.3,2.8,37.2,-11.4,46.3,172.02,204.57,111.54,73.94,68.75,,,,,,,,,,
000074,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,10.67亿元,缺失,26.8,28.6,29.8,42.1,49.2,55.1,62.1,65.3,73.7,82.0,,,,,,,,,,
000075,指数型-海外股票发行日期,0.60%（每年）,0.15%（每年）,50.50亿元,缺失,5.253164557,8.9240506329,48.7341772152,28.9873417722,42.4050632911,41.5189873418,23.4810126582,4.2405063291,-8.8607594937,9.5569620253,,,,,,,,,,
000076,指数型-海外股票发行日期,0.60%（每年）,0.15%（每年）,50.50亿元,缺失,5.253164557,8.9240506329,48.7341772152,28.9873417722,42.4050632911,41.5189873418,23.4810126582,4.2405063291,-8.8607594937,9.5569620253,,,,,,,,,,
000077,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,0.40亿元,缺失,25.4,26.8,27.3,38.8,45.2,50.4,56.6,59.0,66.4,73.7,,,,,,,,,,
000078,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,23.28亿元,缺失,,,,,,,,,,,,,,,,,,,,
000079,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,0.07亿元,缺失,16.4,18.7,16.7,26.0,32.1,33.6,41.26,44.42,50.08,56.77,,,,,,,,,,
000080,债券型-混合二级发行日期,0.70%（每年）,0.20%（每年）,0.16亿元,缺失,39.2,12.9,9.2,5.9,36.5,48.9,70.9,42.7,45.98,50.54,,,,,,,,,,
000081,债券型-混合二级发行日期,0.70%（每年）,0.20%（每年）,0.42亿元,缺失,38.2,11.6,7.6,3.8,33.4,44.8,65.5,37.6,40.2,44.0,,,,,,,,,,
000082,股票型发行日期,1.20%（每年）,0.20%（每年）,5.11亿元,缺失,86.4,12.4,41.1,4.2,24.8,90.0,109.8,73.5,54.3,69.3,,,,,,,,,,
000083,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,99.83亿元,缺失,,,,,,,,,,,,,,,,,,,,
000084,债券型-中短债发行日期,0.30%（每年）,0.08%（每年）,38.18亿元,缺失,9.1,11.3,13.6,20.35,24.8,25.62,28.72,26.32,25.82,25.52,,,,,,,,,,
000085,债券型-中短债发行日期,0.30%（每年）,0.08%（每年）,12.74亿元,缺失,8.2,9.9,11.8,17.95,21.95,22.65,25.44,23.22,22.91,22.69,,,,,,,,,,
000086,债券型-长债发行日期,0.40%（每年）,0.10%（每年）,9.31亿元,缺失,,,,,,,,,,,,,,,,,,,,
000089,债券型-中短债发行日期,0.30%（每年）,0.10%（每年）,5.64亿元,缺失,,,,,,,,,,,,,,,,,,,,
000090,债券型-中短债发行日期,0.30%（每年）,0.10%（每年）,7.65亿元,缺失,0.0,0.0,0.0,0.0,0.0,1.3800000000000001,2.37,4.78,7.82,10.97,,,,,,,,,,
000103,QDII-纯债发行日期,1.10%（每年）,0.28%（每年）,5.88亿元,缺失,17.3,34.8,31.8,35.6,47.94,37.85,20.87,-27.64,-27.58,-24.84,,,,,,,,,,
000104,债券型-混合一级发行日期,0.40%（每年）,0.20%（每年）,0.96亿元,缺失,4.6,8.0,8.2,5.81,11.36,13.16,19.14,16.74,22.1,27.71,,,,,,,,,,
000105,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,19.15亿元,缺失,,,,,,,,,,,,,,,,,,,,
000106,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,0.14亿元,缺失,16.4,16.4,17.5,24.4,30.0,34.3,25.9,5.6,4.2,7.2,,,,,,,,,,
000107,债券型-混合二级发行日期,0.50%（每年）,0.20%（每年）,27.55亿元,缺失,2.8,5.7,4.0,8.0,18.7,21.6,25.2,26.9,23.1,29.0,,,,,,,,,,
000108,债券型-混合二级发行日期,0.50%（每年）,0.20%（每年）,27.55亿元,缺失,,,,,,,,,,,,,,,,,,,,
000109,债券型-混合二级发行日期,0.50%（每年）,0.20%（每年）,7.86亿元,缺失,2.5,5.0,3.4,6.9,17.1,19.4,22.4,23.6,19.5,24.7,,,,,,,,,,
000110,混合型-偏债发行日期,0.60%（每年）,0.20%（每年）,0.15亿元,缺失,4.48,4.26,5.08,7.04,24.66,49.7,62.68,39.3,32.07,35.91,,,,,,,,,,
000111,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,19.30亿元,缺失,14.5,4.5,7.9,6.3,4.7,3.1,4.4,6.2,4.5,3.6,,,,,,,,,,
000112,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,0.07亿元,缺失,13.8,3.5,6.5,5.6,4.4,2.8,4.1,5.4,4.2,3.5,,,,,,,,,,
000116,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,24.78亿元,缺失,2.3,-1.5,0.2,1.68,1.05,0.52,0.01,0.14,2.7,2.7600000000000002,,,,,,,,,,
000117,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,2.68亿元,缺失,75.3,52.1,71.7,22.1,95.0,253.9,223.6,152.7,108.8,94.2,,,,,,,,,,
000118,债券型-混合二级发行日期,0.70%（每年）,0.20%（每年）,110.49亿元,缺失,32.2,19.0,21.1,14.7,42.2,54.0,55.2,46.04,45.8,52.55,,,,,,,,,,
000119,债券型-混合二级发行日期,0.70%（每年）,0.20%（每年）,15.43亿元,缺失,31.7,18.0,20.4,13.5,41.7,53.5,54.63,45.55,45.28,51.7,,,,,,,,,,
000120,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,0.33亿元,缺失,51.5,22.7,37.9,7.4,48.3,153.7,174.7,127.1,99.4,114.7,,,,,,,,,,
000121,混合型-偏债发行日期,0.90%（每年）,0.20%（每年）,7.22亿元,缺失,44.6,48.9,59.4,51.1,84.3,137.4,150.5,126.8,126.5,143.2,,,,,,,,,,
000122,债券型-混合一级发行日期,0.30%（每年）,0.10%（每年）,44.77亿元,缺失,12.2,7.1,9.0,10.3,18.2,22.8,25.2,28.4,32.29,43.95,,,,,,,,,,
000123,债券型-混合一级发行日期,0.30%（每年）,0.10%（每年）,8.15亿元,缺失,10.6,5.2,6.5,7.2,14.5,18.5,20.3,22.8,26.1,36.67,,,,,,,,,,
000124,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,5.52亿元,缺失,,,,,,,,,,,,,,,,,,,,
000126,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,2.94亿元,缺失,42.2,0.8,2.4,3.0,37.92,172.94,307.13,218.77,105.79,94.8,,,,,,,,,,
000127,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,6.95亿元,缺失,98.7,83.27,129.82,89.49,127.78,283.76,277.54,179.23,128.59,150.67,,,,,,,,,,
000128,债券型-中短债发行日期,0.25%（每年）,0.05%（每年）,4.16亿元,缺失,18.1,19.81,25.73,20.88,24.46,28.05,20.93,22.74,26.38,30.21,,,,,,,,,,
000129,债券型-中短债发行日期,0.25%（每年）,0.05%（每年）,17.89亿元,缺失,19.0,21.17,27.52,23.13,27.15,31.19,23.89,26.13,30.24,34.57,,,,,,,,,,
000130,债券型-混合一级发行日期,0.70%（每年）,0.20%（每年）,6.30亿元,缺失,,,,,,,,,,,,,,,,,,,,
000131,债券型-混合一级发行日期,0.70%（每年）,0.20%（每年）,4.93亿元,缺失,38.8,9.0,10.5,21.19,25.68,29.15,41.8,41.36,44.93,54.53,,,,,,,,,,
000134,债券型-长债发行日期,0.20%（每年）,0.05%（每年）,33.51亿元,缺失,,,,,,0.9316770186000001,2.0637146864,2.3542376277,1.7331196153,2.053696654,,,,,,,,,,
000135,债券型-长债发行日期,0.20%（每年）,0.05%（每年）,0.00亿元,缺失,,,,,,0.1803245843,0.1803245843,0.1803245843,0.1803245843,0.1803245843,,,,,,,,,,
000136,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,15.22亿元,缺失,156.9,133.3,123.8,90.7,179.4,397.6,426.6,246.3,258.2,258.5,,,,,,,,,,
000137,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,13.55亿元,缺失,6.7,3.6,5.8,16.42,15.03,14.34,16.21,15.41,16.87,17.03,,,,,,,,,,
000138,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,0.07亿元,缺失,6.5,3.5,5.3,15.43,13.51,13.33,14.68,13.38,14.31,13.85,,,,,,,,,,
000139,债券型-长债发行日期,0.30%（每年）,0.05%（每年）,7.56亿元,缺失,0.5,-0.5,0.7000000000000001,0.51,0.68,0.89,0.51,-0.02,0.74,0.77,,,,,,,,,,
000140,债券型-长债发行日期,0.30%（每年）,0.05%（每年）,7.56亿元,缺失,,,,,,,,,,,,,,,,,,,,
000141,债券型-长债发行日期,0.30%（每年）,0.05%（每年）,113.96亿元,缺失,0.30000000000000004,-0.8,0.7000000000000001,0.64,0.47000000000000003,0.68,0.56,0.2,0.6900000000000001,0.66,,,,,,,,,,
000142,债券型-混合二级发行日期,0.70%（每年）,0.20%（每年）,19.86亿元,缺失,24.3,-0.8,1.5,2.8,10.98,20.28,31.27,24.32,8.96,13.46,,,,,,,,,,
000143,债券型-混合二级发行日期,0.50%（每年）,0.15%（每年）,31.98亿元,缺失,27.1,28.42,31.71,34.05,48.97,71.29,83.45,59.81,58.69,75.43,,,,,,,,,,
000147,债券型-长债发行日期,0.40%（每年）,0.10%（每年）,10.78亿元,缺失,,,,,,,,,,,,,,,,,,,,
000148,债券型-长债发行日期,0.40%（每年）,0.10%（每年）,7.64亿元,缺失,,,,,,,,,,,,,,,,,,,,
000149,债券型-混合一级发行日期,0.30%（每年）,0.10%（每年）,0.43亿元,缺失,40.1,33.3,11.2,18.2,23.71,29.79,34.27,26.44,29.12,35.35,,,,,,,,,,
000150,债券型-混合一级发行日期,0.30%（每年）,0.10%（每年）,0.40亿元,缺失,39.8,32.4,9.8,16.2,21.22,26.73,30.64,22.6,24.76,30.31,,,,,,,,,,
000152,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,0.33亿元,缺失,25.1,6.9,9.1,15.7,7.46,6.42,7.06,7.08,7.95,9.36,,,,,,,,,,
000153,债券型-长债发行日期,0.30%（每年）,0.10%（每年）,0.84亿元,缺失,24.3,5.7,7.4,13.3,7.2,6.13,6.76,6.75,7.25,8.95,,,,,,,,,,
000154,指数型-股票发行日期,1.00%（每年）,0.18%（每年）,56.97亿元,缺失,,,,,,,,,,,,,,,,,,,,
000155,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,4.15亿元,缺失,,,,,,,,,,,,,,,,,,,,
000157,QDII-普通股票发行日期,1.20%（每年）,0.20%（每年）,4.48亿元,缺失,,,,,,,,,,,,,,,,,,,,
000158,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,8.67亿元,缺失,,,,,,,,,,,,,,,,,,,,
000159,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,9.45亿元,缺失,,,,,,,,,,,,,,,,,,,,
000160,债券型-长债发行日期,0.30%（每年）,0.07%（每年）,12.01亿元,缺失,,,,,,,,,,,,,,,,,,,,
000161,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,2.11亿元,缺失,,,,,,,,,,,,,,,,,,,,
000162,QDII-混合偏股发行日期,1.20%（每年）,0.20%（每年）,32.07亿元,缺失,,,,,,,,,,,,,,,,,,,,
000163,QDII-混合债发行日期,0.50%（每年）,0.10%（每年）,49.70亿元,缺失,,,,,,,,,,,,,,,,,,,,
000164,指数型-股票发行日期,0.50%（每年）,0.10%（每年）,2.74亿元,缺失,,,,,,,,,,,,,,,,,,,,
000165,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,6.96亿元,缺失,94.8,69.9,56.3,39.5,73.0,147.6,183.1,116.9,91.0,70.79,,,,,,,,,,
000166,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,0.60亿元,缺失,,,,,,,,,,,,,,,,,,,,
000167,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,2.57亿元,缺失,70.0,20.3,38.5,1.9000000000000001,72.9,213.4,167.7,110.0,92.0,94.7,,,,,,,,,,
000171,债券型-混合二级发行日期,0.40%（每年）,0.10%（每年）,152.02亿元,缺失,43.5,44.9,57.3,64.1,83.4,106.4,72.2,65.3,67.8,82.7,,,,,,,,,,
000172,混合型-偏股发行日期,1.00%（每年）,0.20%（每年）,11.14亿元,缺失,76.0,39.5,45.2,7.1,43.0,63.2,68.6,39.7,18.9,36.0,,,,,,,,,,
000173,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,11.13亿元,缺失,129.5,85.8,148.1,89.4,136.6,243.2,253.0,183.0,141.2,142.6,,,,,,,,,,
000174,债券型-混合一级发行日期,0.40%（每年）,0.10%（每年）,1.95亿元,缺失,,,,,,,,,,,,,,,,,,,,
000175,债券型-混合一级发行日期,0.40%（每年）,0.10%（每年）,1.83亿元,缺失,38.4,35.0,36.9,36.7,46.3,49.2,48.7,50.0,53.75,59.16,,,,,,,,,,
000176,指数型-股票发行日期,1.00%（每年）,0.18%（每年）,14.10亿元,缺失,13.45,5.03,36.04,5.99,48.34,96.6,89.01,48.92,31.98,47.02,,,,,,,,,,
000179,指数型-海外股票发行日期,0.80%（每年）,0.30%（每年）,1.29亿元,缺失,33.2,31.6,27.6,8.3,24.8,2.9,39.2,9.4,18.6,23.7,,,,,,,,,,
000180,指数型-海外股票发行日期,0.80%（每年）,0.30%（每年）,1.29亿元,缺失,26.761433869,17.2435105068,20.7045735476,-2.7194066749,10.5686032138,-2.5339925834,34.9196538937,-2.9048207664,3.5228677379,6.3658838072,,,,,,,,,,
000181,债券型-混合二级发行日期,0.30%（每年）,0.10%（每年）,50.26亿元,缺失,11.8,11.5,16.8,13.6,19.6,23.2,26.4,17.8,15.1,22.6,,,,,,,,,,
000182,债券型-混合二级发行日期,0.30%（每年）,0.10%（每年）,6.00亿元,缺失,,,,,,,,,,,,,,,,,,,,
000183,债券型-混合一级发行日期,0.30%（每年）,0.10%（每年）,12.10亿元,缺失,3.1,-0.2,-2.7,0.4,1.3,0.30000000000000004,2.3,-1.27,1.11,2.17,,,,,,,,,,
000184,债券型-混合二级发行日期,0.30%（每年）,0.10%（每年）,0.81亿元,缺失,65.4,63.8,66.6,47.6,49.8,61.0,74.5,70.4,69.4,90.3,,,,,,,,,,
000185,债券型-混合二级发行日期,0.30%（每年）,0.10%（每年）,0.35亿元,缺失,63.3,61.1,63.2,47.3,49.0,59.5,72.2,67.4,65.9,85.9,,,,,,,,,,
000186,债券型-混合一级发行日期,0.35%（每年）,0.10%（每年）,47.09亿元,缺失,4.7,-0.30000000000000004,1.7,6.22,4.73,3.9,7.28,5.78,8.11,9.41,,,,,,,,,,
000187,债券型-长债发行日期,0.30%（每年）,0.15%（每年）,4.53亿元,缺失,12.9,5.84,9.31,20.56,24.55,1.36,8.23,6.1,10.86,15.57,,,,,,,,,,
000188,债券型-长债发行日期,0.30%（每年）,0.15%（每年）,1.68亿元,缺失,12.4,4.72,7.72,18.31,21.71,1.09,7.5,6.0,10.31,14.53,,,,,,,,,,
000189,债券型-混合二级发行日期,0.80%（每年）,0.20%（每年）,11.86亿元,缺失,,1.4,2.3,3.2,10.2,30.25,31.21,22.39,24.36,31.21,,,,,,,,,,
000190,混合型-灵活发行日期,1.20%（每年）,0.20%（每年）,9.55亿元,缺失,37.2,19.1,33.6,28.7,46.0,72.3,71.9,64.0,64.2,74.8,,,,,,,,,,
000191,债券型-长债发行日期,0.50%（每年）,0.10%（每年）,100.22亿元,缺失,3.3,0.4,0.1,3.2,8.31,11.63,17.88,20.12,25.73,31.49,,,,,,,,,,
000192,债券型-长债发行日期,0.50%（每年）,0.10%（每年）,14.78亿元,缺失,3.0,0.1,0.2,3.2,7.91,10.77,16.5,18.24,23.27,28.41,,,,,,,,,,
000194,债券型-长债发行日期,0.30%（每年）,0.08%（每年）,9.48亿元,缺失,7.5,3.0,1.1,7.1,8.4,7.7,8.82,7.32,8.96,9.88,,,,,,,,,,
000195,混合型-灵活发行日期,0.60%（每年）,0.15%（每年）,0.47亿元,缺失,35.1,-0.7000000000000001,1.3,5.6,18.9,44.4,50.2,46.2,41.1,56.4,,,,,,,,,,
000196,混合型-灵活发行日期,0.60%（每年）,0.15%（每年）,0.33亿元,缺失,32.9,-1.0,0.4,3.9,16.2,40.2,45.0,40.3,34.6,48.3,,,,,,,,,,
000197,债券型-长债发行日期,,0.05%（每年）,30.44亿元,缺失,3.2,0.4,2.3,5.7,7.7,8.8,9.7,12.3,12.4,12.08,,,,,,,,,,
000198,货币型-普通货币发行日期,0.30%（每年）,0.08%（每年）,,缺失,,,,,,,,,,,,,,,,,,,,
000199,混合型-偏股发行日期,1.20%（每年）,0.20%（每年）,1.60亿元,缺失,49.9,35.7,40.4,3.36,33.57,88.28,89.85,53.55,37.04,34.45,,,,,,,,,,
000200,债券型-中短债发行日期,0.40%（每年）,0.15%（每年）,19.45亿元,缺失,9.1,-1.4,-1.3,2.9,9.2,13.9,15.4,13.63,19.2,24.43,,,,,,,,,,
000201,债券型-长债发行日期,0.70%（每年）,0.20%（每年）,0.52亿元,缺失,0.9,2.2,1.5,8.0,3.6,0.9,3.9,-1.33,2.23,3.48,,,,,,,,,,
000203,货币型-普通货币发行日期,0.33%（每年）,0.10%（每年）,55.61亿元,缺失,,,,,,,,,,,,,,,,,,,,
000204,货币型-普通货币发行日期,0.33%（每年）,0.10%（每年）,5.20亿元,缺失,,,,,,,,,,,,,,,,,,,,
000205,债券型-长债发行日期,0.30%（每年）,0.05%（每年）,21.09亿元,缺失,13.9,8.9,9.3,13.8,14.3,12.8,15.0,13.8,16.4,17.33,,,,,,,,,,
000206,债券型-长债发行日期,0.30%（每年）,0.05%（每年）,4.51亿元,缺失,13.6,8.6,9.3,13.8,14.0,12.7,14.8,13.7,16.2,17.13,,,,,,,,,,
